easting0 [km], northing0 [km], easting1 [km], northing1 [km]
2.6248680e+02, 5.7977141e+02, 2.6436798e+02, 5.8351370e+02
2.5075525e+02, 5.9286441e+02, 2.5287054e+02, 5.9291118e+02
2.3167497e+02, 5.7252716e+02, 2.3439512e+02, 5.7383381e+02
2.3320570e+02, 5.9876521e+02, 2.4486767e+02, 5.8424563e+02
2.6703839e+02, 5.8726342e+02, 2.6737104e+02, 5.8377679e+02
2.4862619e+02, 5.7812182e+02, 2.4894988e+02, 5.7426577e+02
2.3844920e+02, 5.7184835e+02, 2.4212588e+02, 5.7233742e+02
2.5623879e+02, 5.8124332e+02, 2.5948259e+02, 5.8092396e+02
2.5153121e+02, 5.8576170e+02, 2.5166028e+02, 5.8330394e+02
2.6802756e+02, 5.7806858e+02, 2.6894155e+02, 5.8079476e+02
2.4062810e+02, 5.7385572e+02, 2.4287072e+02, 5.7446931e+02
2.5520492e+02, 5.9229723e+02, 2.5523865e+02, 5.8921403e+02
2.2958239e+02, 6.0059613e+02, 2.3175017e+02, 5.9410353e+02
2.6649532e+02, 5.7413271e+02, 2.6693947e+02, 5.7180575e+02
2.4211232e+02, 5.7244531e+02, 2.5507922e+02, 5.7341595e+02
2.4665123e+02, 5.8726572e+02, 2.4905582e+02, 5.8711603e+02
2.5159756e+02, 6.0068406e+02, 2.5379256e+02, 5.9409333e+02
2.3196015e+02, 5.9003753e+02, 2.3435114e+02, 5.8940202e+02
2.4848509e+02, 6.1266918e+02, 2.5137844e+02, 6.1261759e+02
2.3661654e+02, 5.8283453e+02, 2.3954352e+02, 5.8296458e+02
2.4612987e+02, 5.9442035e+02, 2.4908350e+02, 5.9177623e+02
2.5200809e+02, 5.9898114e+02, 2.5475173e+02, 5.9889248e+02
2.6038451e+02, 5.8790655e+02, 2.6204747e+02, 5.8444392e+02
2.3472537e+02, 6.0441872e+02, 2.3522304e+02, 6.0206947e+02
2.3693437e+02, 5.7586060e+02, 2.4012029e+02, 5.7660915e+02
2.4527008e+02, 5.7249736e+02, 2.4576383e+02, 5.6950283e+02
2.5420942e+02, 5.7826665e+02, 2.5684600e+02, 5.7729637e+02
2.5857674e+02, 5.8561032e+02, 2.6096342e+02, 5.8551051e+02
2.3707196e+02, 5.9941592e+02, 2.3936119e+02, 5.9992792e+02
2.3156920e+02, 5.9872722e+02, 2.3452641e+02, 5.8913891e+02
2.4276684e+02, 5.7478905e+02, 2.4378462e+02, 5.7298864e+02
2.5840976e+02, 5.7657910e+02, 2.6206821e+02, 5.7633329e+02
2.6556960e+02, 5.8373925e+02, 2.6849638e+02, 5.8386070e+02
2.4775595e+02, 6.1108890e+02, 2.5416586e+02, 6.0969669e+02
2.6046345e+02, 5.7255522e+02, 2.6424410e+02, 5.6989337e+02
2.3690530e+02, 5.8259301e+02, 2.3831830e+02, 5.7636707e+02
2.5901677e+02, 5.9752798e+02, 2.6172606e+02, 5.9710105e+02
2.6497357e+02, 5.7362596e+02, 2.6783267e+02, 5.7118710e+02
2.3404031e+02, 5.7058238e+02, 2.4423118e+02, 5.7274094e+02
2.5283895e+02, 5.7914221e+02, 2.5660110e+02, 5.7881373e+02
2.4966220e+02, 5.9556977e+02, 2.5169064e+02, 5.8957281e+02
2.4047004e+02, 6.0059076e+02, 2.4274520e+02, 6.0061833e+02
2.3629205e+02, 6.0045035e+02, 2.3747890e+02, 5.9642809e+02
